,response id,birth year,gender,industry desc,occupation desc,organization size,manage others?,household,years at job,metro or regional,rw percentage (2020),org encouraged rw?,org prepared for rw?,rw is common at org?,rw permission is attainable,rw collaboration easy?,preferred rw percentage (2020),preferred rw percentage (future),if no covid: employer encourage rw ,if no covid: employer support rw,if no covid: i would have choice about rw,productivity (remote vs office),in-person: hours  commuting ,in-person: hours  working,in-person: hours  personal/family time,in-person: hours domestic responsibilities,remote: hours commuting ,remote: hours working,remote: hours personal/family time,remote: hours domestic responsibilities
10,11,1980,Female,Administrative and Support Services,Clerical and administrative ,More than 200,No,Single person,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,100% - All of my time,70%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,3.0,8.0,3.0,2.0,0.5,8.0,5.0,2.0
11,12,1989,Male,Financial and Insurance Services,Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,100% - All of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% more productive when working remotely,2.0,10.0,3.0,2.0,0.5,12.0,4.0,2.0
12,13,1994,Female,Financial and Insurance Services,Professionals,More than 200,No,Single person,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Strongly agree,I’m 10% less productive when working remotely,2.0,8.0,1.0,1.0,0.0,9.0,2.0,1.0
13,14,1970,Female,"Professional, Scientific and Technical Services",Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,80%,80%,Neither agree nor disagree,Somewhat agree,Somewhat agree,I’m 50% more productive when working remotely (or more),1.0,12.0,4.0,1.0,0.0,13.0,5.0,1.0
14,15,1962,Female,Construction,Clerical and administrative ,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Strongly agree,Somewhat agree,Strongly agree,My productivity is about same when I work remotely,1.0,5.0,3.0,2.0,0.5,5.0,4.0,2.0
15,16,1959,Male,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,80%,80%,Somewhat agree,Somewhat agree,Strongly agree,My productivity is about same when I work remotely,2.5,8.0,4.0,1.5,0.5,9.0,6.0,2.0
16,17,1971,Female,"Transport, Postal and Warehousing",Clerical and administrative ,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 50% more productive when working remotely (or more),0.5,8.0,2.0,2.0,0.25,9.0,2.0,2.0
17,18,1960,Male,Financial and Insurance Services,Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,40%,40%,Somewhat disagree,Somewhat agree,Strongly agree,I’m 30% less productive when working remotely,3.0,10.0,2.0,2.0,1.0,12.0,2.0,2.0
18,19,1966,Male,"Professional, Scientific and Technical Services",Sales ,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,30%,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),0.5,4.0,8.0,0.5,0.0,5.0,8.0,0.5
19,20,1969,Male,Public Administration and Safety,Community and personal service ,More than 200,No,Couple with dependent children,More than 5 years,Metro,10%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,40%,40%,Strongly disagree,Strongly disagree,Somewhat disagree,I’m 50% more productive when working remotely (or more),2.0,8.0,1.0,3.0,0.5,8.0,1.5,3.0
20,21,1961,Male,"Electricity, Gas, Water and Waste Services",Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,100% - All of my time,90%,Somewhat agree,Somewhat agree,Strongly agree,My productivity is about same when I work remotely,3.0,8.0,2.0,2.0,0.5,8.0,4.0,3.0
21,22,1969,Male,Administrative and Support Services,Clerical and administrative ,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,90%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,70%,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% more productive when working remotely,2.0,7.0,9.0,6.0,0.5,9.0,9.5,5.0
22,23,1959,Male,"Transport, Postal and Warehousing",Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,80%,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,80%,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1.5,7.5,4.0,3.0,1.0,7.5,2.0,2.0
23,24,1963,Male,Public Administration and Safety,Clerical and administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,I’m 40% more productive when working remotely,2.0,8.0,10.0,4.0,0.0,8.0,12.0,4.0
24,25,1962,Male,Financial and Insurance Services,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,90%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,100% - All of my time,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% more productive when working remotely,3.0,10.0,3.0,2.0,1.0,11.0,5.0,2.0
25,26,1965,Male,Accommodation and Food Services,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Less than 10% of my time,Less than 10% of my time,Strongly disagree,Strongly disagree,Strongly disagree,I’m 30% less productive when working remotely,2.0,10.0,10.0,2.0,0.0,10.0,10.0,4.0
26,27,1962,Female,Financial and Insurance Services,Professionals,More than 200,Yes,Other one family household,More than 5 years,Metro,80%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,40%,40%,Strongly agree,Strongly agree,Strongly agree,I’m 10% less productive when working remotely,2.0,6.0,0.5,0.0,0.0,8.0,1.0,0.0
27,28,1963,Female,"Transport, Postal and Warehousing",Clerical and administrative ,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,Rarely or never ,,,,,,I would not have preferred to work remotely ,100% - All of my time,Strongly agree,Neither agree nor disagree,Strongly disagree,My productivity is about same when I work remotely,0.5,6.0,8.0,2.0,0.5,6.0,10.0,2.0
28,29,1984,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,30%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I’m 30% more productive when working remotely,1.0,8.0,5.0,2.0,1.0,8.0,6.0,6.0
29,30,1957,Male,Education and Training,Professionals,I am the only employee,No,Single person,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,60%,60%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 30% more productive when working remotely,2.0,8.0,4.0,0.0,0.0,8.0,5.0,1.0
30,31,1962,Male,Public Administration and Safety,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,80%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,80%,60%,Strongly agree,Somewhat agree,Strongly agree,I’m 10% less productive when working remotely,1.0,8.5,3.0,2.0,0.0,9.5,4.0,3.0
31,32,1958,Male,Financial and Insurance Services,Managers,More than 200,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,4.0,8.5,3.5,1.0,0.0,9.5,3.5,1.0
32,33,1961,Male,Arts and Recreation Services,Managers,More than 200,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,90%,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,30%,30%,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I’m 30% less productive when working remotely,2.0,8.0,8.0,6.0,1.0,10.0,5.0,8.0
33,34,1959,Male,Information Media and Telecommunications,Managers,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,50% - About half of my time,50% - About half of my time,Strongly disagree,Somewhat disagree,Somewhat disagree,I’m 30% more productive when working remotely,1.0,6.0,2.0,1.0,1.0,8.0,2.0,1.0
34,35,1980,Female,Retail Trade,Clerical and administrative ,More than 200,No,Couple with dependent children,More than 5 years,Metro,90%,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,60%,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,0.5,8.0,3.0,5.0,0.0,8.0,4.0,4.0
35,36,1991,Female,"Rental, Hiring and Real Estate Services",Clerical and administrative ,More than 200,No,Single person,More than 5 years,Metro,20%,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,10%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.5,9.0,4.0,1.0,0.5,9.0,5.0,1.0
36,37,1973,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat disagree,Somewhat agree,Strongly agree,I’m 30% more productive when working remotely,1.0,10.0,2.0,2.0,0.0,12.0,2.0,3.0
37,38,1971,Female,Education and Training,Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,40%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,100% - All of my time,10%,Strongly disagree,Strongly disagree,Strongly disagree,I’m 30% more productive when working remotely,1.0,12.0,2.0,3.0,0.5,12.0,3.0,3.0
38,39,1996,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Single person,Between 6 and 12 months,Metro,60%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,70%,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% less productive when working remotely,3.0,8.0,4.0,1.0,1.0,9.0,5.0,1.0
39,40,1975,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1.0,8.0,4.0,2.0,0.2,9.0,4.0,2.0
40,41,1996,Female,Arts and Recreation Services,Professionals,Between 20 and 199,Yes,Single person,Between 6 and 12 months,Metro,20%,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,10%,20%,Somewhat disagree,Somewhat disagree,Somewhat disagree,I’m 20% less productive when working remotely,2.0,10.0,2.0,1.0,0.5,10.0,3.0,3.0
41,42,1987,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,80%,50% - About half of my time,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 10% more productive when working remotely,2.0,8.5,4.0,1.0,0.5,9.0,5.0,2.0
42,43,1966,Female,Health Care and Social Assistance,Community and personal service ,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90%,80%,Strongly agree,Strongly agree,Strongly agree,I’m 30% more productive when working remotely,4.0,8.0,2.0,1.0,0.0,10.0,2.0,1.0
43,44,1976,Female,Retail Trade,Managers,Between 5 and 19,No,Single person,Between 1 and 5 years,Metro,60%,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,60%,40%,Somewhat disagree,Somewhat disagree,Strongly disagree,I’m 50% more productive when working remotely (or more),2.0,7.0,11.0,3.0,0.0,8.0,12.0,4.0
44,45,1967,Female,Other Services,Sales ,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,90%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat disagree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1.0,8.0,5.0,2.0,0.5,8.0,8.0,2.0
45,46,1965,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,30%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% less productive when working remotely,1.0,8.0,4.0,2.0,0.5,6.0,6.0,2.0
46,47,1961,Female,Health Care and Social Assistance,Professionals,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,80%,80%,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,6.0,6.0,2.0,0.5,8.0,4.0,2.0
47,48,1964,Male,Financial and Insurance Services,Managers,Between 20 and 199,Yes,Single person,More than 5 years,Metro,100% - I spent all of my time remote working,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,100% - All of my time,100% - All of my time,Strongly disagree,Strongly disagree,Strongly disagree,I’m 30% more productive when working remotely,1.5,8.0,2.5,0.5,0.0,9.5,2.5,0.5
48,49,1978,Female,Retail Trade,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,40%,40%,Strongly agree,Strongly agree,Strongly agree,I’m 10% more productive when working remotely,2.5,8.5,3.0,2.0,0.5,9.0,4.0,2.0
49,50,1979,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Multiple family household,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,70%,80%,Strongly agree,Strongly agree,Strongly agree,I’m 30% less productive when working remotely,3.0,7.5,2.0,0.0,0.0,10.0,4.0,2.0
50,51,1974,Male,Manufacturing,Clerical and administrative ,More than 200,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,80%,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% less productive when working remotely,2.0,8.0,11.0,3.0,0.0,12.0,7.0,3.0
51,52,1969,Male,Arts and Recreation Services,Professionals,I am the only employee,No,Single person,More than 5 years,Regional,80%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,70%,60%,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,0.1,6.0,6.0,3.0,0.0,7.0,6.0,3.0
52,53,1995,Female,Retail Trade,Sales ,Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 40% more productive when working remotely,2.0,8.0,1.0,0.0,0.5,10.0,2.0,1.0
53,54,1960,Female,Retail Trade,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Strongly disagree,Strongly disagree,Strongly agree,My productivity is about same when I work remotely,0.5,3.0,17.5,3.0,0.0,2.0,18.0,4.0
54,55,1985,Male,"Transport, Postal and Warehousing",Managers,More than 200,Yes,Single person,More than 5 years,Metro,20%,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,80%,60%,Somewhat agree,Somewhat agree,Neither agree nor disagree,I’m 50% more productive when working remotely (or more),1.5,10.0,11.0,1.5,0.0,10.0,10.0,4.0
55,56,1962,Male,Other Services,Technicians and trades ,More than 200,No,Single person,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,1.5,8.0,8.0,0.5,0.5,8.0,10.0,0.5
56,57,1964,Male,Financial and Insurance Services,Professionals,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,1.0,8.0,3.0,2.0,0.0,8.0,3.0,3.0
57,58,1965,Male,Health Care and Social Assistance,Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro,10%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,50% - About half of my time,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,2.0,8.0,4.0,0.0,0.3,7.5,6.0,0.0
58,59,1988,Male,Accommodation and Food Services,Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,40%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,50% - About half of my time,50% - About half of my time,Strongly agree,Strongly agree,Somewhat agree,I’m 10% more productive when working remotely,1.5,6.0,5.0,2.0,0.5,6.0,7.0,3.0
59,60,1959,Male,Financial and Insurance Services,Professionals,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Neither agree nor disagree,Strongly agree,I’m 40% more productive when working remotely,1.0,8.0,4.0,5.0,0.0,9.0,4.0,5.0
60,61,1966,Female,Arts and Recreation Services,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,90%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,90%,90%,Strongly agree,Somewhat agree,Somewhat agree,I’m 50% more productive when working remotely (or more),3.0,9.0,2.0,1.0,0.5,10.0,3.0,2.0
61,62,1960,Male,Financial and Insurance Services,Managers,More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,80%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,50% - About half of my time,30%,Somewhat agree,Strongly agree,Strongly agree,I’m 30% less productive when working remotely,1.0,9.0,2.0,1.0,0.0,10.0,2.0,1.0
62,63,1979,Female,Information Media and Telecommunications,Managers,Between 5 and 19,Yes,Multiple family household,Between 1 and 5 years,Metro,80%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,40%,50% - About half of my time,Neither agree nor disagree,Strongly agree,Strongly agree,I’m 20% more productive when working remotely,2.5,9.0,3.0,2.0,1.0,9.0,3.0,2.0
63,64,1966,Female,Other Services,Professionals,Between 5 and 19,No,Single person,More than 5 years,Metro,Less than 10% of my time,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Less than 10% of my time,20%,Strongly agree,Strongly disagree,Neither agree nor disagree,My productivity is about same when I work remotely,1.0,3.0,18.0,2.0,1.0,6.0,15.0,2.0
64,65,1956,Male,Education and Training,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,80%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,80%,30%,Neither agree nor disagree,Somewhat disagree,Somewhat agree,I’m 20% more productive when working remotely,3.0,9.0,2.0,1.0,1.0,10.0,2.0,1.5
65,66,1962,Female,Health Care and Social Assistance,Professionals,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,3.0,7.5,3.5,2.0,0.5,8.5,3.5,2.5
66,67,1957,Male,Public Administration and Safety,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,70%,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,2.0,8.0,10.0,4.0,0.0,8.0,10.0,6.0
67,68,1986,Male,Health Care and Social Assistance,Clerical and administrative ,More than 200,Yes,Single person,More than 5 years,Metro,70%,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,60%,50% - About half of my time,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,I’m 40% less productive when working remotely,1.0,9.0,4.0,2.0,0.5,6.0,6.0,4.0
68,69,1987,Female,Arts and Recreation Services,Clerical and administrative ,Between 1 and 4,No,Other one family household,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,100% - All of my time,50% - About half of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,I’m 30% more productive when working remotely,3.5,8.5,1.0,1.0,0.5,8.5,3.0,2.0
69,70,1964,Female,Retail Trade,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,80%,80%,Somewhat agree,Neither agree nor disagree,Strongly agree,I’m 50% more productive when working remotely (or more),0.5,8.0,3.0,1.0,0.5,9.0,2.0,3.0
70,71,1961,Male,"Professional, Scientific and Technical Services",Professionals,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90%,80%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 10% less productive when working remotely,0.5,8.0,2.0,2.0,0.0,9.0,2.0,2.0
71,72,1987,Female,Financial and Insurance Services,Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Strongly agree,Strongly agree,I’m 10% more productive when working remotely,3.0,7.5,5.5,2.0,0.0,8.0,8.0,2.0
