responder_id,birth_year,gender,industry_desc,occupation_desc,manage_others,household,years_at_job,metro_or_regional
77,1973,Male,Financial and Insurance Services,Other,No,Couple with dependent children,More than 5 years,Metro
78,1963,Female,Information Media and Telecommunications,Managers,No,Couple with dependent children,More than 5 years,Metro
79,1968,Male,Information Media and Telecommunications,Professionals,Yes,Couple with dependent children,More than 5 years,Metro
80,1961,Male,Other,Managers,Yes,Couple with no dependent children,More than 5 years,Metro
81,1968,Male,"Professional, Scientific and Technical Services",Managers,Yes,Couple with no dependent children,More than 5 years,Metro
82,1964,Male,Other,Other,No,Couple with no dependent children,Between 1 and 5 years,Metro
83,1969,Male,Information Media and Telecommunications,Managers,No,One  parent family with dependent children,More than 5 years,Metro
84,1968,Male,Other,Managers,Yes,Couple with dependent children,Between 1 and 5 years,Metro
85,1965,Male,Retail Trade,Sales ,Yes,One  parent family with dependent children,Between 6 and 12 months,Metro
86,1964,Male,Other,Professionals,No,Couple with dependent children,Between 1 and 5 years,Metro
87,1957,Male,Information Media and Telecommunications,Professionals,Yes,Couple with dependent children,More than 5 years,Metro
88,1970,Female,"Professional, Scientific and Technical Services",Professionals,No,One  parent family with dependent children,More than 5 years,Metro
89,1980,Male,Other,Sales ,No,Couple with dependent children,More than 5 years,Metro
90,1974,Male,Education and Training,Sales ,Yes,Couple with dependent children,More than 5 years,Metro
91,1960,Male,Other,Professionals,Yes,Couple with no dependent children,More than 5 years,Metro
92,1963,Male,Financial and Insurance Services,Managers,No,Couple with no dependent children,Between 1 and 5 years,Metro
93,1986,Female,Retail Trade,Sales ,No,Other one family household,Between 6 and 12 months,Metro
94,2000,Male,Education and Training,Professionals,No,Group household,Between 6 and 12 months,Metro
95,1971,Male,Other,Sales ,No,Couple with dependent children,Between 1 and 5 years,Regional
96,1970,Female,Information Media and Telecommunications,Professionals,No,Single person,Between 6 and 12 months,Metro
97,1964,Male,Retail Trade,Professionals,No,Single person,More than 5 years,Metro
98,1960,Female,Health Care and Social Assistance,Clerical and administrative ,Yes,Multiple family household,More than 5 years,Metro
99,1962,Male,Financial and Insurance Services,Managers,Yes,Single person,More than 5 years,Metro
100,1974,Male,"Professional, Scientific and Technical Services",Professionals,No,Couple with dependent children,Between 6 and 12 months,Metro
101,1959,Male,Other,Professionals,Yes,Couple with no dependent children,More than 5 years,Metro
102,1955,Male,Other,Clerical and administrative ,No,Other one family household,More than 5 years,Metro
103,1960,Male,"Professional, Scientific and Technical Services",Managers,No,Couple with no dependent children,More than 5 years,Metro
104,1961,Male,"Professional, Scientific and Technical Services",Professionals,No,Couple with dependent children,More than 5 years,Metro
105,1959,Male,Financial and Insurance Services,Professionals,Yes,Couple with dependent children,More than 5 years,Metro
106,1968,Male,Other,Managers,Yes,Couple with no dependent children,More than 5 years,Metro
107,1969,Male,"Professional, Scientific and Technical Services",Professionals,No,Couple with dependent children,More than 5 years,Metro
108,1968,Male,Other,Sales ,Yes,Couple with dependent children,Between 6 and 12 months,Metro
109,1990,Male,Other,Managers,No,Couple with no dependent children,Between 1 and 5 years,Metro
110,1960,Male,Other Services,Professionals,No,Couple with dependent children,More than 5 years,Metro
111,1994,Female,Financial and Insurance Services,Managers,No,Group household,Between 6 and 12 months,Metro
112,1959,Male,Information Media and Telecommunications,Professionals,No,Couple with dependent children,More than 5 years,Metro
113,1990,Male,Other,Professionals,Yes,Couple with no dependent children,Between 1 and 5 years,Metro
114,1960,Male,Financial and Insurance Services,Managers,Yes,Couple with dependent children,More than 5 years,Metro
115,1962,Male,Information Media and Telecommunications,Managers,Yes,Couple with dependent children,Between 1 and 5 years,Metro
116,1972,Male,Education and Training,Professionals,No,Couple with dependent children,Between 1 and 5 years,Metro
117,1957,Male,Retail Trade,Professionals,No,Couple with no dependent children,More than 5 years,Metro
118,1964,Male,Retail Trade,Managers,Yes,Couple with no dependent children,More than 5 years,Metro
119,1970,Male,"Professional, Scientific and Technical Services",Professionals,Yes,Couple with dependent children,More than 5 years,Metro
120,1962,Male,Information Media and Telecommunications,Professionals,No,Couple with no dependent children,More than 5 years,Metro
121,1959,Male,Health Care and Social Assistance,Professionals,Yes,Couple with dependent children,More than 5 years,Metro
122,1963,Male,Other,Managers,No,Couple with no dependent children,More than 5 years,Metro
123,1970,Male,Retail Trade,Managers,Yes,Couple with dependent children,More than 5 years,Metro
124,1963,Female,Other,Managers,No,Couple with dependent children,Between 1 and 5 years,Metro
125,1964,Male,Other,Managers,Yes,Couple with no dependent children,Between 1 and 5 years,Metro
126,1965,Female,"Professional, Scientific and Technical Services",Professionals,No,Couple with dependent children,More than 5 years,Metro
127,1983,Female,Other,Clerical and administrative ,No,Single person,Between 1 and 5 years,Metro
128,1965,Female,Other,Clerical and administrative ,No,Couple with no dependent children,More than 5 years,Metro
129,1980,Female,Other,Clerical and administrative ,No,Couple with dependent children,Between 1 and 5 years,Metro
130,1988,Male,"Professional, Scientific and Technical Services",Managers,Yes,Single person,Between 1 and 5 years,Metro
131,1955,Male,"Professional, Scientific and Technical Services",Managers,Yes,Couple with dependent children,More than 5 years,Metro
132,1974,Female,Other,Clerical and administrative ,No,Couple with dependent children,More than 5 years,Metro
133,1981,Male,Other,Managers,Yes,Couple with no dependent children,Between 1 and 5 years,Metro
134,1977,Male,Information Media and Telecommunications,Professionals,Yes,Couple with no dependent children,More than 5 years,Metro
135,1967,Male,Other,Professionals,No,Couple with dependent children,More than 5 years,Metro
136,1966,Female,Other,Other,No,Couple with dependent children,Between 1 and 5 years,Metro
137,1958,Male,Other Services,Professionals,Yes,Couple with no dependent children,More than 5 years,Metro
138,1995,Female,Education and Training,Professionals,No,Couple with no dependent children,Between 6 and 12 months,Metro
139,1971,Female,Retail Trade,Sales ,No,One  parent family with dependent children,Between 1 and 5 years,Metro
140,1961,Female,Financial and Insurance Services,Professionals,No,Single person,Between 1 and 5 years,Metro
141,1982,Female,Other Services,Other,No,Couple with no dependent children,More than 5 years,Metro
142,1977,Female,Health Care and Social Assistance,Professionals,No,Couple with dependent children,Between 1 and 5 years,Regional
143,1991,Female,Retail Trade,Sales ,No,Couple with no dependent children,Between 1 and 5 years,Metro
144,1977,Female,Other,Professionals,No,Couple with dependent children,Between 1 and 5 years,Metro
145,1989,Female,Education and Training,Professionals,No,Single person,Between 1 and 5 years,Metro
146,1973,Female,Other,Professionals,Yes,One  parent family with dependent children,More than 5 years,Regional
147,1991,Male,Financial and Insurance Services,Managers,Yes,Couple with no dependent children,More than 5 years,Metro
148,1987,Male,"Professional, Scientific and Technical Services",Professionals,No,Single person,Between 1 and 5 years,Metro
149,1993,Female,Other,Managers,Yes,Couple with no dependent children,More than 5 years,Metro
150,1975,Male,Financial and Insurance Services,Professionals,No,Couple with dependent children,More than 5 years,Metro
151,1996,Female,Education and Training,Managers,Yes,Couple with dependent children,Between 1 and 5 years,Metro
152,1991,Male,Information Media and Telecommunications,Managers,Yes,Couple with dependent children,Between 1 and 5 years,Regional
153,1990,Female,Health Care and Social Assistance,Professionals,Yes,Single person,More than 5 years,Metro
154,1990,Female,Other,Clerical and administrative ,Yes,Couple with no dependent children,Between 1 and 5 years,Metro
155,1998,Female,"Professional, Scientific and Technical Services",Professionals,No,Single person,Between 1 and 5 years,Metro
156,1990,Male,Other,Other,Yes,Group household,Between 6 and 12 months,Metro
157,1957,Female,Health Care and Social Assistance,Professionals,No,Single person,More than 5 years,Metro
158,1971,Male,Other,Managers,Yes,Couple with dependent children,Between 1 and 5 years,Metro
159,1987,Female,Education and Training,Professionals,No,Couple with dependent children,Between 1 and 5 years,Metro
160,1967,Male,Other,Managers,Yes,Couple with dependent children,More than 5 years,Regional
161,1964,Female,Other,Clerical and administrative ,No,Single person,More than 5 years,Metro
162,1976,Female,"Professional, Scientific and Technical Services",Clerical and administrative ,No,Couple with dependent children,Between 1 and 5 years,Metro
163,1990,Female,Other Services,Managers,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro
164,1965,Female,Other,Clerical and administrative ,No,Couple with no dependent children,Between 1 and 5 years,Metro
165,1970,Female,Education and Training,Professionals,Yes,Couple with dependent children,More than 5 years,Metro
166,1967,Male,Other Services,Managers,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro
167,1989,Female,Information Media and Telecommunications,Professionals,No,Single person,More than 5 years,Metro
168,1965,Male,Other,Other,No,Single person,More than 5 years,Metro
169,1983,Female,Other,Clerical and administrative ,No,Couple with no dependent children,Between 1 and 5 years,Metro
170,1978,Female,Other,Other,No,Couple with no dependent children,Between 1 and 5 years,Metro
171,1989,Female,Other Services,Other,Yes,Couple with dependent children,More than 5 years,Metro
172,1985,Female,"Professional, Scientific and Technical Services",Professionals,No,Couple with dependent children,Between 1 and 5 years,Metro
173,1976,Female,Other,Clerical and administrative ,No,Single person,Between 1 and 5 years,Metro
174,1990,Female,Other,Managers,Yes,Couple with dependent children,Between 1 and 5 years,Metro
175,1956,Female,"Professional, Scientific and Technical Services",Professionals,No,Single person,More than 5 years,Metro
176,1995,Female,Other Services,Professionals,No,Couple with no dependent children,Between 6 and 12 months,Metro
177,1977,Female,Health Care and Social Assistance,Professionals,Yes,Couple with dependent children,More than 5 years,Metro
178,1975,Male,Other,Professionals,Yes,Couple with dependent children,More than 5 years,Metro
179,1961,Male,Other,Managers,Yes,Couple with no dependent children,More than 5 years,Metro
180,1973,Female,Other Services,Other,No,Couple with no dependent children,More than 5 years,Regional
181,1969,Female,Other,Clerical and administrative ,No,Single person,Between 1 and 5 years,Metro
182,1995,Male,Other,Managers,Yes,Couple with dependent children,Between 1 and 5 years,Metro
183,1973,Male,Information Media and Telecommunications,Other,No,Couple with dependent children,More than 5 years,Metro
184,1964,Female,Education and Training,Professionals,Yes,Couple with no dependent children,More than 5 years,Regional
185,1992,Female,Health Care and Social Assistance,Managers,Yes,Couple with no dependent children,Between 1 and 5 years,Regional
186,1970,Female,Health Care and Social Assistance,Clerical and administrative ,No,Couple with dependent children,Between 1 and 5 years,Metro
187,1981,Female,Education and Training,Professionals,No,Couple with dependent children,More than 5 years,Regional
188,1990,Female,Other Services,Other,Yes,Couple with no dependent children,Between 6 and 12 months,Regional
189,1992,Female,Health Care and Social Assistance,Managers,Yes,Single person,Between 1 and 5 years,Regional
190,1983,Male,Other,Managers,Yes,Couple with dependent children,More than 5 years,Regional
191,1986,Female,Health Care and Social Assistance,Other,Yes,Couple with no dependent children,More than 5 years,Regional
192,1969,Female,Health Care and Social Assistance,Managers,No,Couple with no dependent children,More than 5 years,Regional
193,1963,Female,Other Services,Clerical and administrative ,No,One  parent family with dependent children,Between 1 and 5 years,Regional
194,1975,Female,Education and Training,Clerical and administrative ,No,Single person,More than 5 years,Regional
195,1966,Female,Health Care and Social Assistance,Professionals,Yes,Couple with no dependent children,More than 5 years,Regional
196,1956,Female,Retail Trade,Sales ,Yes,Couple with no dependent children,More than 5 years,Regional
197,1960,Female,Health Care and Social Assistance,Professionals,No,Couple with no dependent children,Between 1 and 5 years,Regional
198,1958,Female,Education and Training,Professionals,No,Single person,More than 5 years,Regional
199,1958,Female,Other,Clerical and administrative ,No,Couple with no dependent children,Between 1 and 5 years,Regional
200,1964,Female,Financial and Insurance Services,Clerical and administrative ,No,Couple with no dependent children,More than 5 years,Regional
201,1960,Female,Health Care and Social Assistance,Professionals,Yes,Couple with no dependent children,More than 5 years,Regional
202,1972,Female,Other,Managers,No,One  parent family with dependent children,Between 1 and 5 years,Regional
203,1988,Female,Education and Training,Professionals,Yes,Other one family household,Between 1 and 5 years,Regional
204,1977,Female,Other,Professionals,No,Couple with dependent children,Between 1 and 5 years,Regional
205,1973,Female,Information Media and Telecommunications,Professionals,No,Couple with no dependent children,More than 5 years,Regional
206,1988,Female,Other Services,Clerical and administrative ,Yes,Couple with no dependent children,More than 5 years,Regional
207,1956,Male,Other,Managers,Yes,Couple with no dependent children,More than 5 years,Regional
208,1957,Male,Other,Managers,Yes,Single person,More than 5 years,Regional
209,1958,Male,"Professional, Scientific and Technical Services",Professionals,No,Couple with no dependent children,Between 1 and 5 years,Regional
210,1975,Female,"Professional, Scientific and Technical Services",Professionals,No,Couple with dependent children,Between 1 and 5 years,Metro
211,1993,Male,Financial and Insurance Services,Professionals,Yes,Couple with dependent children,Between 1 and 5 years,Metro
212,1986,Male,"Professional, Scientific and Technical Services",Managers,Yes,Couple with dependent children,More than 5 years,Metro
213,1997,Female,Education and Training,Clerical and administrative ,No,Couple with no dependent children,Between 1 and 5 years,Metro
214,1994,Male,"Professional, Scientific and Technical Services",Professionals,No,Single person,Between 1 and 5 years,Metro
215,1991,Female,Financial and Insurance Services,Managers,Yes,Couple with dependent children,Between 1 and 5 years,Metro
216,1993,Male,"Professional, Scientific and Technical Services",Managers,Yes,Couple with dependent children,Between 1 and 5 years,Metro
217,1981,Male,Other,Professionals,No,Couple with dependent children,Between 1 and 5 years,Metro
218,1987,Male,Other,Managers,Yes,Single person,More than 5 years,Metro
219,1982,Female,Other Services,Clerical and administrative ,No,Couple with dependent children,More than 5 years,Metro
220,1986,Female,Retail Trade,Professionals,No,Couple with dependent children,Between 1 and 5 years,Metro
221,1967,Female,Other,Clerical and administrative ,No,One  parent family with dependent children,More than 5 years,Metro
222,1971,Male,Education and Training,Professionals,Yes,Couple with dependent children,Between 1 and 5 years,Metro
223,1987,Male,Information Media and Telecommunications,Other,Yes,Couple with dependent children,Between 1 and 5 years,Metro
224,1987,Female,Other,Professionals,Yes,Couple with dependent children,Between 1 and 5 years,Metro
225,1972,Male,Retail Trade,Managers,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro
226,1977,Female,Information Media and Telecommunications,Clerical and administrative ,No,Single person,Between 1 and 5 years,Metro
227,1982,Female,Other,Professionals,No,Couple with dependent children,Between 1 and 5 years,Metro
228,1900,Male,Other,Other,Yes,Couple with dependent children,Between 6 and 12 months,Metro
229,1961,Female,Other,Managers,Yes,Couple with dependent children,More than 5 years,Metro
230,1975,Male,Other,Managers,Yes,Couple with dependent children,More than 5 years,Metro
231,1967,Female,Other,Managers,Yes,Couple with no dependent children,Between 1 and 5 years,Regional
232,1955,Female,Other,Professionals,Yes,One  parent family with dependent children,More than 5 years,Regional
233,1979,Female,Health Care and Social Assistance,Clerical and administrative ,Yes,Couple with no dependent children,Between 1 and 5 years,Metro
234,1958,Male,Other,Managers,Yes,Single person,More than 5 years,Metro
235,1994,Female,Financial and Insurance Services,Managers,Yes,Single person,Between 6 and 12 months,Metro
236,1975,Female,Other Services,Managers,Yes,Couple with dependent children,More than 5 years,Metro
237,1978,Female,Other,Managers,Yes,Couple with dependent children,More than 5 years,Metro
238,1956,Male,Education and Training,Professionals,No,Couple with dependent children,Between 1 and 5 years,Regional
239,1987,Female,Information Media and Telecommunications,Professionals,Yes,Couple with dependent children,More than 5 years,Metro
240,1989,Male,Other,Clerical and administrative ,No,Couple with no dependent children,Between 1 and 5 years,Metro
241,1990,Female,Information Media and Telecommunications,Sales ,No,Couple with dependent children,More than 5 years,Metro
242,1965,Male,Other,Professionals,No,Group household,Between 1 and 5 years,Metro
243,1985,Male,Information Media and Telecommunications,Managers,Yes,Couple with dependent children,More than 5 years,Metro
244,1992,Female,Education and Training,Professionals,No,Group household,Between 6 and 12 months,Metro
245,1981,Male,Financial and Insurance Services,Managers,Yes,Couple with dependent children,More than 5 years,Metro
246,1971,Female,Education and Training,Clerical and administrative ,No,Couple with dependent children,More than 5 years,Regional
247,1977,Female,Health Care and Social Assistance,Clerical and administrative ,No,Couple with no dependent children,More than 5 years,Metro
248,1999,Female,"Professional, Scientific and Technical Services",Clerical and administrative ,Yes,Couple with dependent children,Between 1 and 5 years,Metro
249,1980,Male,"Professional, Scientific and Technical Services",Professionals,Yes,Couple with no dependent children,More than 5 years,Metro
250,1977,Female,Other,Managers,Yes,Single person,Between 1 and 5 years,Regional
251,1990,Female,"Professional, Scientific and Technical Services",Professionals,Yes,Couple with dependent children,More than 5 years,Metro
252,1974,Female,Other,Managers,Yes,Couple with dependent children,Between 1 and 5 years,Metro
253,1988,Female,Other,Managers,Yes,Couple with no dependent children,Between 6 and 12 months,Metro
254,1984,Female,Education and Training,Professionals,No,Couple with no dependent children,Between 1 and 5 years,Regional
255,1990,Female,Retail Trade,Sales ,No,Couple with no dependent children,Between 1 and 5 years,Metro
256,1967,Male,Other,Managers,Yes,Single person,Between 1 and 5 years,Regional
257,1968,Male,Information Media and Telecommunications,Professionals,No,Couple with dependent children,Between 1 and 5 years,Metro
258,1967,Male,Financial and Insurance Services,Managers,No,Couple with dependent children,Between 6 and 12 months,Metro
259,1959,Male,Health Care and Social Assistance,Managers,Yes,Couple with no dependent children,Between 1 and 5 years,Metro
260,1960,Male,"Professional, Scientific and Technical Services",Professionals,Yes,Couple with no dependent children,More than 5 years,Metro
261,1991,Female,Education and Training,Professionals,Yes,Couple with dependent children,Between 6 and 12 months,Regional
262,1973,Male,Other,Managers,Yes,Couple with no dependent children,Between 1 and 5 years,Metro
263,1984,Male,Other,Managers,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro
264,1990,Female,Other,Managers,Yes,Couple with dependent children,Between 6 and 12 months,Regional
265,1962,Male,"Professional, Scientific and Technical Services",Professionals,No,Couple with no dependent children,More than 5 years,Metro
266,1987,Female,Other,Clerical and administrative ,Yes,Couple with dependent children,Between 1 and 5 years,Metro
267,1974,Male,Other,Other,Yes,Couple with dependent children,Between 1 and 5 years,Regional
268,1956,Female,Education and Training,Professionals,Yes,Single person,More than 5 years,Metro
269,1961,Male,"Professional, Scientific and Technical Services",Professionals,Yes,Single person,Between 1 and 5 years,Metro
270,1962,Male,"Professional, Scientific and Technical Services",Professionals,Yes,Couple with no dependent children,More than 5 years,Metro
271,1960,Male,Financial and Insurance Services,Managers,No,Couple with no dependent children,Between 1 and 5 years,Metro
272,1960,Male,Information Media and Telecommunications,Clerical and administrative ,Yes,Couple with no dependent children,More than 5 years,Metro
273,1960,Male,Information Media and Telecommunications,Managers,Yes,Couple with no dependent children,More than 5 years,Regional
274,1962,Female,"Professional, Scientific and Technical Services",Professionals,No,Couple with no dependent children,Between 1 and 5 years,Metro
275,1960,Male,Other,Managers,Yes,Single person,More than 5 years,Metro
276,1997,Male,Other,Professionals,No,Single person,Between 1 and 5 years,Metro
277,1995,Male,"Professional, Scientific and Technical Services",Professionals,No,Couple with no dependent children,Between 1 and 5 years,Metro
278,1973,Male,Other,Managers,No,One  parent family with dependent children,More than 5 years,Metro
279,1960,Female,"Professional, Scientific and Technical Services",Managers,No,Couple with no dependent children,Between 1 and 5 years,Metro
280,1963,Male,Health Care and Social Assistance,Professionals,Yes,Couple with no dependent children,More than 5 years,Metro
281,1964,Male,Other,Professionals,Yes,Single person,Between 1 and 5 years,Metro
282,1957,Male,Other,Managers,No,Other one family household,More than 5 years,Metro
283,1979,Female,Education and Training,Professionals,No,Single person,More than 5 years,Metro
284,1957,Male,Other,Managers,Yes,Couple with no dependent children,More than 5 years,Metro
285,1962,Male,"Professional, Scientific and Technical Services",Managers,No,Couple with dependent children,More than 5 years,Metro
286,1966,Male,Other Services,Managers,Yes,Couple with no dependent children,More than 5 years,Regional
287,1961,Male,Other,Managers,No,Couple with no dependent children,More than 5 years,Regional
288,1973,Male,Other,Clerical and administrative ,Yes,Couple with dependent children,Between 6 and 12 months,Metro
289,1955,Male,"Professional, Scientific and Technical Services",Professionals,No,Couple with dependent children,More than 5 years,Metro
290,1968,Male,Other,Managers,Yes,Couple with no dependent children,More than 5 years,Metro
291,1961,Female,Other,Clerical and administrative ,No,Other one family household,More than 5 years,Metro
292,1985,Male,Other,Managers,Yes,Single person,More than 5 years,Metro
293,1978,Female,Financial and Insurance Services,Clerical and administrative ,No,Couple with no dependent children,Between 1 and 5 years,Metro
294,1960,Male,Other Services,Other,No,Single person,Between 1 and 5 years,Metro
295,1986,Male,Retail Trade,Professionals,No,Couple with dependent children,More than 5 years,Metro
296,1964,Male,Other,Sales ,No,Single person,More than 5 years,Metro
297,1959,Male,"Professional, Scientific and Technical Services",Professionals,No,Couple with dependent children,More than 5 years,Metro
298,1957,Male,Financial and Insurance Services,Managers,No,Couple with no dependent children,Between 1 and 5 years,Metro
299,1997,Male,Education and Training,Professionals,No,Group household,Between 1 and 5 years,Metro
300,1960,Male,Information Media and Telecommunications,Clerical and administrative ,No,Single person,More than 5 years,Metro
301,1963,Male,"Professional, Scientific and Technical Services",Managers,No,One  parent family with dependent children,Between 6 and 12 months,Metro
302,1964,Male,Other,Managers,Yes,Couple with dependent children,More than 5 years,Metro
303,1986,Female,Financial and Insurance Services,Managers,Yes,Couple with no dependent children,Between 1 and 5 years,Regional
304,1979,Male,"Professional, Scientific and Technical Services",Professionals,No,Couple with dependent children,More than 5 years,Metro
305,1971,Male,Financial and Insurance Services,Professionals,No,Couple with no dependent children,More than 5 years,Metro
