responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,rw_percentage_2020,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities
22,1959,Male,Other,Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,4-5 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,more productive,1.5,7.5,4.0,3.0,1.0,7.5,2.0,2.0
23,1963,Male,Other,Clerical and administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,2.0,8.0,10.0,4.0,0.0,8.0,12.0,4.0
24,1962,Male,Financial and Insurance Services,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,3.0,10.0,3.0,2.0,1.0,11.0,5.0,2.0
25,1965,Male,Other,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,0-1 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,much less productive,2.0,10.0,10.0,2.0,0.0,10.0,10.0,4.0
26,1962,Female,Financial and Insurance Services,Professionals,More than 200,Yes,Other one family household,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,less productive,2.0,6.0,0.5,0.0,0.0,8.0,1.0,0.0
27,1963,Female,Other,Clerical and administrative ,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,0-1 days,No response,No response,No response,No response,No response,0-1 days,4-5 days,Strongly agree,Neither agree nor disagree,Strongly disagree,same productivity,0.5,6.0,8.0,2.0,0.5,6.0,10.0,2.0
28,1984,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,1-2 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 days,1-2 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,much more productive,1.0,8.0,5.0,2.0,1.0,8.0,6.0,6.0
29,1957,Male,Education and Training,Professionals,I am the only employee,No,Single person,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3-4 days,3-4 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,much more productive,2.0,8.0,4.0,0.0,0.0,8.0,5.0,1.0
30,1962,Male,Other,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Strongly agree,Somewhat agree,Strongly agree,less productive,1.0,8.5,3.0,2.0,0.0,9.5,4.0,3.0
31,1958,Male,Financial and Insurance Services,Managers,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,4.0,8.5,3.5,1.0,0.0,9.5,3.5,1.0
32,1961,Male,Other,Managers,More than 200,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,1-2 days,1-2 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,much less productive,2.0,8.0,8.0,6.0,1.0,10.0,5.0,8.0
33,1959,Male,Information Media and Telecommunications,Managers,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,2-3 days,2-3 days,Strongly disagree,Somewhat disagree,Somewhat disagree,much more productive,1.0,6.0,2.0,1.0,1.0,8.0,2.0,1.0
34,1980,Female,Retail Trade,Clerical and administrative ,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Strongly agree,Strongly agree,Strongly agree,same productivity,0.5,8.0,3.0,5.0,0.0,8.0,4.0,4.0
35,1991,Female,Other,Clerical and administrative ,More than 200,No,Single person,More than 5 years,Metro,1-2 days,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1.5,9.0,4.0,1.0,0.5,9.0,5.0,1.0
36,1973,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat disagree,Somewhat agree,Strongly agree,much more productive,1.0,10.0,2.0,2.0,0.0,12.0,2.0,3.0
37,1971,Female,Education and Training,Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,much more productive,1.0,12.0,2.0,3.0,0.5,12.0,3.0,3.0
38,1996,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Single person,Between 6 and 12 months,Metro,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,less productive,3.0,8.0,4.0,1.0,1.0,9.0,5.0,1.0
39,1975,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,1.0,8.0,4.0,2.0,0.2,9.0,4.0,2.0
40,1996,Female,Other,Professionals,Between 20 and 199,Yes,Single person,Between 6 and 12 months,Metro,1-2 days,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,0-1 days,1-2 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,less productive,2.0,10.0,2.0,1.0,0.5,10.0,3.0,3.0
41,1987,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,more productive,2.0,8.5,4.0,1.0,0.5,9.0,5.0,2.0
42,1966,Female,Health Care and Social Assistance,Other,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,4.0,8.0,2.0,1.0,0.0,10.0,2.0,1.0
43,1976,Female,Retail Trade,Managers,Between 5 and 19,No,Single person,Between 1 and 5 years,Metro,3-4 days,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,3-4 days,2-3 days,Somewhat disagree,Somewhat disagree,Strongly disagree,much more productive,2.0,7.0,11.0,3.0,0.0,8.0,12.0,4.0
44,1967,Female,Other Services,Sales ,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Somewhat disagree,Somewhat agree,Somewhat agree,more productive,1.0,8.0,5.0,2.0,0.5,8.0,8.0,2.0
45,1965,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,1-2 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,less productive,1.0,8.0,4.0,2.0,0.5,6.0,6.0,2.0
46,1961,Female,Health Care and Social Assistance,Professionals,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,4-5 days,4-5 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,less productive,0.5,6.0,6.0,2.0,0.5,8.0,4.0,2.0
47,1964,Male,Financial and Insurance Services,Managers,Between 20 and 199,Yes,Single person,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,4-5 days,4-5 days,Strongly disagree,Strongly disagree,Strongly disagree,much more productive,1.5,8.0,2.5,0.5,0.0,9.5,2.5,0.5
48,1978,Female,Retail Trade,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,more productive,2.5,8.5,3.0,2.0,0.5,9.0,4.0,2.0
49,1979,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Multiple family household,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much less productive,3.0,7.5,2.0,0.0,0.0,10.0,4.0,2.0
50,1974,Male,Other,Clerical and administrative ,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,2.0,8.0,11.0,3.0,0.0,12.0,7.0,3.0
51,1969,Male,Other,Professionals,I am the only employee,No,Single person,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,3-4 days,3-4 days,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,same productivity,0.1,6.0,6.0,3.0,0.0,7.0,6.0,3.0
52,1995,Female,Retail Trade,Sales ,Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,2.0,8.0,1.0,0.0,0.5,10.0,2.0,1.0
53,1960,Female,Retail Trade,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,2-3 days,2-3 days,Strongly disagree,Strongly disagree,Strongly agree,same productivity,0.5,3.0,3.5,3.0,0.0,2.0,4.0,4.0
54,1985,Male,Other,Managers,More than 200,Yes,Single person,More than 5 years,Metro,1-2 days,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,4-5 days,3-4 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,much more productive,1.5,10.0,11.0,1.5,0.0,10.0,10.0,4.0
55,1962,Male,Other Services,Other,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,0-1 days,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1.5,8.0,8.0,0.5,0.5,8.0,10.0,0.5
56,1964,Male,Financial and Insurance Services,Professionals,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,less productive,1.0,8.0,3.0,2.0,0.0,8.0,3.0,3.0
57,1965,Male,Health Care and Social Assistance,Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro,0-1 days,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,more productive,2.0,8.0,4.0,0.0,0.3,7.5,6.0,0.0
58,1988,Male,Other,Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,2-3 days,2-3 days,Strongly agree,Strongly agree,Somewhat agree,more productive,1.5,6.0,5.0,2.0,0.5,6.0,7.0,3.0
59,1959,Male,Financial and Insurance Services,Professionals,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Neither agree nor disagree,Strongly agree,much more productive,1.0,8.0,4.0,5.0,0.0,9.0,4.0,5.0
60,1966,Female,Other,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,much more productive,3.0,9.0,2.0,1.0,0.5,10.0,3.0,2.0
61,1960,Male,Financial and Insurance Services,Managers,More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,2-3 days,1-2 days,Somewhat agree,Strongly agree,Strongly agree,much less productive,1.0,9.0,2.0,1.0,0.0,10.0,2.0,1.0
62,1979,Female,Information Media and Telecommunications,Managers,Between 5 and 19,Yes,Multiple family household,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Neither agree nor disagree,Strongly agree,Strongly agree,more productive,2.5,9.0,3.0,2.0,1.0,9.0,3.0,2.0
63,1966,Female,Other Services,Professionals,Between 5 and 19,No,Single person,More than 5 years,Metro,0-1 days,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,0-1 days,1-2 days,Strongly agree,Strongly disagree,Neither agree nor disagree,same productivity,1.0,3.0,3.5,2.0,1.0,6.0,4.0,2.0
64,1956,Male,Education and Training,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,4-5 days,1-2 days,Neither agree nor disagree,Somewhat disagree,Somewhat agree,more productive,3.0,9.0,2.0,1.0,1.0,10.0,2.0,1.5
65,1962,Female,Health Care and Social Assistance,Professionals,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,3.0,7.5,3.5,2.0,0.5,8.5,3.5,2.5
66,1957,Male,Other,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,3-4 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,2.0,8.0,10.0,4.0,0.0,8.0,10.0,6.0
67,1986,Male,Health Care and Social Assistance,Clerical and administrative ,More than 200,Yes,Single person,More than 5 years,Metro,3-4 days,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,3-4 days,2-3 days,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,much less productive,1.0,9.0,4.0,2.0,0.5,6.0,6.0,4.0
68,1987,Female,Other,Clerical and administrative ,Between 1 and 4,No,Other one family household,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,much more productive,3.5,8.5,1.0,1.0,0.5,8.5,3.0,2.0
69,1964,Female,Retail Trade,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Neither agree nor disagree,Strongly agree,much more productive,0.5,8.0,3.0,1.0,0.5,9.0,2.0,3.0
70,1961,Male,"Professional, Scientific and Technical Services",Professionals,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,less productive,0.5,8.0,2.0,2.0,0.0,9.0,2.0,2.0
71,1987,Female,Financial and Insurance Services,Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Somewhat agree,Strongly agree,Strongly agree,more productive,3.0,7.5,5.5,2.0,0.0,8.0,8.0,2.0
72,1959,Female,"Professional, Scientific and Technical Services",Professionals,I am the only employee,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Strongly agree,Strongly agree,more productive,3.0,8.0,3.0,2.0,1.0,9.0,4.0,2.0
73,1985,Female,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,same productivity,2.5,8.0,2.0,3.0,0.5,9.0,3.0,5.0
74,1985,Female,Education and Training,Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,2-3 days,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,3-4 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,much more productive,3.0,8.0,1.0,3.0,0.0,6.0,6.0,4.0
75,1992,Female,Information Media and Telecommunications,Managers,Between 5 and 19,Yes,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Strongly agree,much more productive,1.5,7.5,5.0,0.5,0.0,7.5,7.0,0.5
76,1961,Female,Other,Managers,I am the only employee,Yes,Single person,Between 1 and 5 years,Regional,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,more productive,3.0,6.0,4.0,1.0,2.0,7.0,3.0,1.0
77,1973,Male,Financial and Insurance Services,Other,More than 200,No,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,3.0,2.0,1.0,1.0,0.0,5.0,1.0,1.0
