responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,rw_percentage_2020,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities,commute_time_difference
18,1966,Male,"Professional, Scientific and Technical Services",Sales ,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,1-2 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1-2 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,much more productive,0.5,4,8,0.5,0,5,8,0.5,0.5
19,1969,Male,Other,Other,More than 200,No,Couple with dependent children,More than 5 years,Metro,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,2-3 days,2-3 days,Strongly disagree,Strongly disagree,Somewhat disagree,much more productive,2,8,1,3,0.5,8,1.5,3,1.5
20,1961,Male,Other,Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,same productivity,3,8,2,2,0.5,8,4,3,2.5
21,1969,Male,Other,Clerical and administrative ,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,3-4 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,2,7,9,6,0.5,9,9.5,5,1.5
22,1959,Male,Other,Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,4-5 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,more productive,1.5,7.5,4,3,1,7.5,2,2,0.5
23,1963,Male,Other,Clerical and administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,2,8,10,4,0,8,12,4,2
24,1962,Male,Financial and Insurance Services,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,3,10,3,2,1,11,5,2,2
25,1965,Male,Other,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,0-1 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,much less productive,2,10,10,2,0,10,10,4,2
26,1962,Female,Financial and Insurance Services,Professionals,More than 200,Yes,Other one family household,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,less productive,2,6,0.5,0,0,8,1,0,2
27,1963,Female,Other,Clerical and administrative ,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,0-1 days,No response,No response,No response,No response,No response,0-1 days,4-5 days,Strongly agree,Neither agree nor disagree,Strongly disagree,same productivity,0.5,6,8,2,0.5,6,10,2,0
28,1984,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,1-2 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 days,1-2 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,much more productive,1,8,5,2,1,8,6,6,0
29,1957,Male,Education and Training,Professionals,I am the only employee,No,Single person,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3-4 days,3-4 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,much more productive,2,8,4,0,0,8,5,1,2
30,1962,Male,Other,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Strongly agree,Somewhat agree,Strongly agree,less productive,1,8.5,3,2,0,9.5,4,3,1
31,1958,Male,Financial and Insurance Services,Managers,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,4,8.5,3.5,1,0,9.5,3.5,1,4
32,1961,Male,Other,Managers,More than 200,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,1-2 days,1-2 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,much less productive,2,8,8,6,1,10,5,8,1
33,1959,Male,Information Media and Telecommunications,Managers,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,2-3 days,2-3 days,Strongly disagree,Somewhat disagree,Somewhat disagree,much more productive,1,6,2,1,1,8,2,1,0
34,1980,Female,Retail Trade,Clerical and administrative ,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Strongly agree,Strongly agree,Strongly agree,same productivity,0.5,8,3,5,0,8,4,4,0.5
35,1991,Female,Other,Clerical and administrative ,More than 200,No,Single person,More than 5 years,Metro,1-2 days,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1.5,9,4,1,0.5,9,5,1,1
36,1973,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat disagree,Somewhat agree,Strongly agree,much more productive,1,10,2,2,0,12,2,3,1
37,1971,Female,Education and Training,Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,much more productive,1,12,2,3,0.5,12,3,3,0.5
38,1996,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Single person,Between 6 and 12 months,Metro,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,less productive,3,8,4,1,1,9,5,1,2
39,1975,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,1,8,4,2,0.2,9,4,2,0.8
40,1996,Female,Other,Professionals,Between 20 and 199,Yes,Single person,Between 6 and 12 months,Metro,1-2 days,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,0-1 days,1-2 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,less productive,2,10,2,1,0.5,10,3,3,1.5
41,1987,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,more productive,2,8.5,4,1,0.5,9,5,2,1.5
42,1966,Female,Health Care and Social Assistance,Other,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,4,8,2,1,0,10,2,1,4
43,1976,Female,Retail Trade,Managers,Between 5 and 19,No,Single person,Between 1 and 5 years,Metro,3-4 days,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,3-4 days,2-3 days,Somewhat disagree,Somewhat disagree,Strongly disagree,much more productive,2,7,11,3,0,8,12,4,2
44,1967,Female,Other Services,Sales ,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Somewhat disagree,Somewhat agree,Somewhat agree,more productive,1,8,5,2,0.5,8,8,2,0.5
45,1965,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,1-2 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,less productive,1,8,4,2,0.5,6,6,2,0.5
46,1961,Female,Health Care and Social Assistance,Professionals,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,4-5 days,4-5 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,less productive,0.5,6,6,2,0.5,8,4,2,0
47,1964,Male,Financial and Insurance Services,Managers,Between 20 and 199,Yes,Single person,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,4-5 days,4-5 days,Strongly disagree,Strongly disagree,Strongly disagree,much more productive,1.5,8,2.5,0.5,0,9.5,2.5,0.5,1.5
48,1978,Female,Retail Trade,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,more productive,2.5,8.5,3,2,0.5,9,4,2,2
49,1979,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Multiple family household,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much less productive,3,7.5,2,0,0,10,4,2,3
50,1974,Male,Other,Clerical and administrative ,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,2,8,11,3,0,12,7,3,2
51,1969,Male,Other,Professionals,I am the only employee,No,Single person,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,3-4 days,3-4 days,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,same productivity,0.1,6,6,3,0,7,6,3,0.1
52,1995,Female,Retail Trade,Sales ,Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,2,8,1,0,0.5,10,2,1,1.5
53,1960,Female,Retail Trade,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,2-3 days,2-3 days,Strongly disagree,Strongly disagree,Strongly agree,same productivity,0.5,3,3.5,3,0,2,4,4,0.5
54,1985,Male,Other,Managers,More than 200,Yes,Single person,More than 5 years,Metro,1-2 days,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,4-5 days,3-4 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,much more productive,1.5,10,11,1.5,0,10,10,4,1.5
55,1962,Male,Other Services,Other,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,0-1 days,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1.5,8,8,0.5,0.5,8,10,0.5,1
56,1964,Male,Financial and Insurance Services,Professionals,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,less productive,1,8,3,2,0,8,3,3,1
57,1965,Male,Health Care and Social Assistance,Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro,0-1 days,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,more productive,2,8,4,0,0.3,7.5,6,0,1.7
58,1988,Male,Other,Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,2-3 days,2-3 days,Strongly agree,Strongly agree,Somewhat agree,more productive,1.5,6,5,2,0.5,6,7,3,1
59,1959,Male,Financial and Insurance Services,Professionals,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Neither agree nor disagree,Strongly agree,much more productive,1,8,4,5,0,9,4,5,1
60,1966,Female,Other,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,much more productive,3,9,2,1,0.5,10,3,2,2.5
61,1960,Male,Financial and Insurance Services,Managers,More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,2-3 days,1-2 days,Somewhat agree,Strongly agree,Strongly agree,much less productive,1,9,2,1,0,10,2,1,1
62,1979,Female,Information Media and Telecommunications,Managers,Between 5 and 19,Yes,Multiple family household,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Neither agree nor disagree,Strongly agree,Strongly agree,more productive,2.5,9,3,2,1,9,3,2,1.5
63,1966,Female,Other Services,Professionals,Between 5 and 19,No,Single person,More than 5 years,Metro,0-1 days,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,0-1 days,1-2 days,Strongly agree,Strongly disagree,Neither agree nor disagree,same productivity,1,3,3.5,2,1,6,4,2,0
64,1956,Male,Education and Training,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,4-5 days,1-2 days,Neither agree nor disagree,Somewhat disagree,Somewhat agree,more productive,3,9,2,1,1,10,2,1.5,2
65,1962,Female,Health Care and Social Assistance,Professionals,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,3,7.5,3.5,2,0.5,8.5,3.5,2.5,2.5
66,1957,Male,Other,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,3-4 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,2,8,10,4,0,8,10,6,2
67,1986,Male,Health Care and Social Assistance,Clerical and administrative ,More than 200,Yes,Single person,More than 5 years,Metro,3-4 days,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,3-4 days,2-3 days,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,much less productive,1,9,4,2,0.5,6,6,4,0.5
68,1987,Female,Other,Clerical and administrative ,Between 1 and 4,No,Other one family household,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,much more productive,3.5,8.5,1,1,0.5,8.5,3,2,3
69,1964,Female,Retail Trade,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Neither agree nor disagree,Strongly agree,much more productive,0.5,8,3,1,0.5,9,2,3,0
70,1961,Male,"Professional, Scientific and Technical Services",Professionals,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,less productive,0.5,8,2,2,0,9,2,2,0.5
71,1987,Female,Financial and Insurance Services,Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Somewhat agree,Strongly agree,Strongly agree,more productive,3,7.5,5.5,2,0,8,8,2,3
72,1959,Female,"Professional, Scientific and Technical Services",Professionals,I am the only employee,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Strongly agree,Strongly agree,more productive,3,8,3,2,1,9,4,2,2
73,1985,Female,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,same productivity,2.5,8,2,3,0.5,9,3,5,2
74,1985,Female,Education and Training,Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,2-3 days,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,3-4 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,much more productive,3,8,1,3,0,6,6,4,3
75,1992,Female,Information Media and Telecommunications,Managers,Between 5 and 19,Yes,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Strongly agree,much more productive,1.5,7.5,5,0.5,0,7.5,7,0.5,1.5
76,1961,Female,Other,Managers,I am the only employee,Yes,Single person,Between 1 and 5 years,Regional,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,more productive,3,6,4,1,2,7,3,1,1
77,1973,Male,Financial and Insurance Services,Other,More than 200,No,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,3,2,1,1,0,5,1,1,3
78,1963,Female,Information Media and Telecommunications,Managers,I am the only employee,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Strongly agree,Somewhat agree,Strongly agree,same productivity,3,7,1,4,0.5,7,3,4,2.5
79,1968,Male,Information Media and Telecommunications,Professionals,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,1,10,1,1,0,11,2,1,1
80,1961,Male,Other,Managers,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,1-2 days,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,3-4 days,2-3 days,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,less productive,3,6,5,4,0.5,5,8,4,2.5
81,1968,Male,"Professional, Scientific and Technical Services",Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,3-4 days,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,2-3 days,4-5 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,same productivity,2.5,10,2,3,0.5,2.5,2,3,2
82,1964,Male,Other,Other,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,3-4 days,3-4 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,more productive,1,7,3.5,1,0.5,7,4,1,0.5
